call_id,caller,receiver,phase,timestamp,duration_seconds,recording_id
CALL-0063,8,1,2,Phase-2,157,REC-0063
CALL-0064,8,1,2,Phase-2,417,REC-0064
CALL-0065,8,1,2,Phase-2,110,REC-0065
CALL-0066,8,1,2,Phase-2,595,REC-0066
CALL-0067,8,1,2,Phase-2,330,REC-0067
CALL-0068,55,1,2,Phase-2,879,REC-0068
CALL-0069,47,1,2,Phase-2,673,REC-0069
CALL-0070,98,1,2,Phase-2,663,REC-0070
CALL-0071,12,1,2,Phase-2,400,REC-0071
CALL-0072,12,1,2,Phase-2,621,REC-0072
CALL-0073,1,89,2,Phase-2,226,REC-0073
CALL-0074,1,89,2,Phase-2,751,REC-0074
CALL-0075,1,89,2,Phase-2,101,REC-0075
CALL-0076,1,89,2,Phase-2,76,REC-0076
CALL-0077,1,89,2,Phase-2,707,REC-0077
CALL-0078,7,89,2,Phase-2,263,REC-0078
CALL-0079,1,83,2,Phase-2,821,REC-0079
CALL-0080,1,83,2,Phase-2,326,REC-0080
CALL-0081,1,83,2,Phase-2,111,REC-0081
CALL-0082,1,83,2,Phase-2,268,REC-0082
CALL-0083,1,83,2,Phase-2,133,REC-0083
CALL-0084,6,83,2,Phase-2,419,REC-0084
CALL-0085,1,3,2,Phase-2,314,REC-0085
CALL-0086,1,3,2,Phase-2,494,REC-0086
CALL-0087,1,3,2,Phase-2,680,REC-0087
CALL-0088,1,3,2,Phase-2,884,REC-0088
CALL-0089,1,3,2,Phase-2,403,REC-0089
CALL-0090,1,5,2,Phase-2,196,REC-0090
CALL-0091,1,5,2,Phase-2,409,REC-0091
CALL-0092,1,5,2,Phase-2,393,REC-0092
CALL-0093,1,5,2,Phase-2,244,REC-0093
CALL-0094,1,5,2,Phase-2,716,REC-0094
CALL-0095,1,88,2,Phase-2,303,REC-0095
CALL-0096,85,88,2,Phase-2,748,REC-0096
CALL-0097,1,90,2,Phase-2,729,REC-0097
CALL-0098,1,90,2,Phase-2,693,REC-0098
CALL-0099,1,90,2,Phase-2,103,REC-0099
CALL-0100,1,2,2,Phase-2,653,REC-0100
CALL-0101,1,2,2,Phase-2,680,REC-0101
CALL-0102,1,2,2,Phase-2,205,REC-0102
CALL-0103,1,2,2,Phase-2,576,REC-0103
CALL-0104,1,2,2,Phase-2,776,REC-0104
CALL-0105,89,7,2,Phase-2,280,REC-0105
CALL-0106,1,64,2,Phase-2,197,REC-0106
CALL-0107,1,64,2,Phase-2,503,REC-0107
CALL-0108,1,64,2,Phase-2,418,REC-0108
CALL-0109,8,64,2,Phase-2,306,REC-0109
CALL-0110,8,64,2,Phase-2,685,REC-0110
CALL-0111,1,8,2,Phase-2,734,REC-0111
CALL-0112,1,8,2,Phase-2,600,REC-0112
CALL-0113,1,8,2,Phase-2,254,REC-0113
CALL-0114,1,8,2,Phase-2,731,REC-0114
CALL-0115,1,8,2,Phase-2,362,REC-0115
CALL-0116,3,8,2,Phase-2,893,REC-0116
CALL-0117,1,55,2,Phase-2,816,REC-0117
CALL-0118,1,55,2,Phase-2,824,REC-0118
CALL-0119,1,55,2,Phase-2,87,REC-0119
CALL-0120,1,55,2,Phase-2,264,REC-0120
CALL-0121,1,10,2,Phase-2,871,REC-0121
CALL-0122,1,10,2,Phase-2,62,REC-0122
CALL-0123,1,10,2,Phase-2,854,REC-0123
CALL-0124,3,10,2,Phase-2,353,REC-0124
CALL-0125,1,56,2,Phase-2,440,REC-0125
CALL-0126,1,97,2,Phase-2,304,REC-0126
CALL-0127,1,97,2,Phase-2,97,REC-0127
CALL-0128,1,47,2,Phase-2,246,REC-0128
CALL-0129,1,98,2,Phase-2,610,REC-0129
CALL-0130,1,76,2,Phase-2,765,REC-0130
CALL-0131,1,76,2,Phase-2,352,REC-0131
CALL-0132,1,76,2,Phase-2,247,REC-0132
CALL-0133,1,76,2,Phase-2,701,REC-0133
CALL-0134,85,76,2,Phase-2,541,REC-0134
CALL-0135,1,9,2,Phase-2,435,REC-0135
CALL-0136,1,9,2,Phase-2,688,REC-0136
CALL-0137,1,9,2,Phase-2,499,REC-0137
CALL-0138,1,9,2,Phase-2,176,REC-0138
CALL-0139,1,9,2,Phase-2,301,REC-0139
CALL-0140,89,11,2,Phase-2,172,REC-0140
CALL-0141,88,11,2,Phase-2,282,REC-0141
CALL-0142,83,1,3,Phase-3,792,REC-0142
CALL-0143,83,1,3,Phase-3,604,REC-0143
CALL-0144,83,1,3,Phase-3,581,REC-0144
CALL-0145,83,1,3,Phase-3,299,REC-0145
CALL-0146,3,1,3,Phase-3,794,REC-0146
CALL-0147,86,1,3,Phase-3,628,REC-0147
CALL-0148,86,1,3,Phase-3,468,REC-0148
CALL-0149,86,1,3,Phase-3,627,REC-0149
CALL-0150,6,1,3,Phase-3,438,REC-0150
CALL-0151,6,1,3,Phase-3,400,REC-0151
CALL-0152,6,1,3,Phase-3,254,REC-0152
CALL-0153,76,1,3,Phase-3,171,REC-0153
CALL-0154,9,1,3,Phase-3,551,REC-0154
CALL-0155,11,1,3,Phase-3,535,REC-0155
CALL-0156,11,1,3,Phase-3,123,REC-0156
CALL-0157,11,1,3,Phase-3,803,REC-0157
CALL-0158,11,1,3,Phase-3,78,REC-0158
CALL-0159,11,1,3,Phase-3,142,REC-0159
CALL-0160,84,1,3,Phase-3,186,REC-0160
CALL-0161,84,1,3,Phase-3,672,REC-0161
CALL-0162,84,1,3,Phase-3,193,REC-0162
CALL-0163,84,1,3,Phase-3,841,REC-0163
CALL-0164,49,1,3,Phase-3,726,REC-0164
CALL-0165,49,1,3,Phase-3,462,REC-0165
CALL-0166,50,1,3,Phase-3,640,REC-0166
CALL-0167,1,89,3,Phase-3,95,REC-0167
CALL-0168,1,89,3,Phase-3,424,REC-0168
CALL-0169,1,89,3,Phase-3,420,REC-0169
CALL-0170,1,89,3,Phase-3,640,REC-0170
CALL-0171,1,89,3,Phase-3,509,REC-0171
CALL-0172,1,83,3,Phase-3,571,REC-0172
CALL-0173,1,83,3,Phase-3,287,REC-0173
CALL-0174,1,83,3,Phase-3,596,REC-0174
CALL-0175,1,83,3,Phase-3,41,REC-0175
CALL-0176,1,83,3,Phase-3,726,REC-0176
CALL-0177,86,83,3,Phase-3,768,REC-0177
CALL-0178,86,83,3,Phase-3,147,REC-0178
CALL-0179,49,83,3,Phase-3,728,REC-0179
CALL-0180,49,83,3,Phase-3,579,REC-0180
CALL-0181,49,83,3,Phase-3,798,REC-0181
CALL-0182,1,3,3,Phase-3,303,REC-0182
CALL-0183,1,3,3,Phase-3,817,REC-0183
CALL-0184,1,3,3,Phase-3,686,REC-0184
CALL-0185,1,3,3,Phase-3,378,REC-0185
CALL-0186,1,3,3,Phase-3,144,REC-0186
CALL-0187,86,3,3,Phase-3,330,REC-0187
CALL-0188,6,3,3,Phase-3,475,REC-0188
CALL-0189,11,3,3,Phase-3,191,REC-0189
CALL-0190,49,3,3,Phase-3,494,REC-0190
CALL-0191,99,3,3,Phase-3,33,REC-0191
CALL-0192,1,5,3,Phase-3,769,REC-0192
CALL-0193,1,5,3,Phase-3,766,REC-0193
CALL-0194,1,5,3,Phase-3,299,REC-0194
CALL-0195,1,5,3,Phase-3,542,REC-0195
CALL-0196,1,5,3,Phase-3,810,REC-0196
CALL-0197,4,5,3,Phase-3,212,REC-0197
CALL-0198,1,48,3,Phase-3,549,REC-0198
CALL-0199,1,48,3,Phase-3,138,REC-0199
CALL-0200,1,85,3,Phase-3,670,REC-0200
CALL-0201,1,85,3,Phase-3,335,REC-0201
CALL-0202,1,85,3,Phase-3,891,REC-0202
CALL-0203,1,85,3,Phase-3,684,REC-0203
CALL-0204,1,85,3,Phase-3,549,REC-0204
CALL-0205,3,85,3,Phase-3,653,REC-0205
CALL-0206,3,85,3,Phase-3,233,REC-0206
CALL-0207,3,85,3,Phase-3,186,REC-0207
CALL-0208,3,85,3,Phase-3,412,REC-0208
CALL-0209,88,85,3,Phase-3,810,REC-0209
CALL-0210,88,85,3,Phase-3,195,REC-0210
CALL-0211,88,85,3,Phase-3,582,REC-0211
CALL-0212,76,85,3,Phase-3,827,REC-0212
CALL-0213,76,85,3,Phase-3,573,REC-0213
CALL-0214,1,90,3,Phase-3,30,REC-0214
CALL-0215,1,90,3,Phase-3,643,REC-0215
CALL-0216,49,90,3,Phase-3,361,REC-0216
CALL-0217,1,86,3,Phase-3,530,REC-0217
CALL-0218,1,86,3,Phase-3,49,REC-0218
CALL-0219,1,86,3,Phase-3,144,REC-0219
CALL-0220,1,86,3,Phase-3,401,REC-0220
CALL-0221,1,86,3,Phase-3,881,REC-0221
CALL-0222,83,86,3,Phase-3,856,REC-0222
CALL-0223,83,86,3,Phase-3,344,REC-0223
CALL-0224,83,86,3,Phase-3,275,REC-0224
CALL-0225,83,86,3,Phase-3,89,REC-0225
CALL-0226,83,86,3,Phase-3,276,REC-0226
CALL-0227,3,86,3,Phase-3,610,REC-0227
CALL-0228,3,86,3,Phase-3,110,REC-0228
CALL-0229,3,86,3,Phase-3,117,REC-0229
CALL-0230,1,2,3,Phase-3,779,REC-0230
CALL-0231,1,2,3,Phase-3,527,REC-0231
CALL-0232,1,2,3,Phase-3,865,REC-0232
CALL-0233,1,2,3,Phase-3,100,REC-0233
CALL-0234,1,2,3,Phase-3,808,REC-0234
CALL-0235,1,7,3,Phase-3,575,REC-0235
CALL-0236,89,7,3,Phase-3,814,REC-0236
CALL-0237,1,6,3,Phase-3,158,REC-0237
CALL-0238,1,6,3,Phase-3,161,REC-0238
CALL-0239,1,6,3,Phase-3,705,REC-0239
CALL-0240,1,6,3,Phase-3,516,REC-0240
CALL-0241,83,6,3,Phase-3,592,REC-0241
CALL-0242,83,6,3,Phase-3,199,REC-0242
CALL-0243,88,6,3,Phase-3,301,REC-0243
CALL-0244,1,8,3,Phase-3,570,REC-0244
CALL-0245,1,8,3,Phase-3,651,REC-0245
CALL-0246,1,8,3,Phase-3,463,REC-0246
CALL-0247,9,8,3,Phase-3,246,REC-0247
CALL-0248,1,55,3,Phase-3,582,REC-0248
CALL-0249,1,55,3,Phase-3,803,REC-0249
CALL-0250,1,55,3,Phase-3,777,REC-0250
CALL-0251,1,10,3,Phase-3,736,REC-0251
CALL-0252,1,10,3,Phase-3,235,REC-0252
CALL-0253,1,10,3,Phase-3,760,REC-0253
CALL-0254,1,56,3,Phase-3,349,REC-0254
CALL-0255,1,56,3,Phase-3,438,REC-0255
CALL-0256,1,76,3,Phase-3,717,REC-0256
CALL-0257,1,76,3,Phase-3,695,REC-0257
CALL-0258,1,76,3,Phase-3,412,REC-0258
CALL-0259,1,76,3,Phase-3,478,REC-0259
CALL-0260,1,76,3,Phase-3,559,REC-0260
CALL-0261,1,9,3,Phase-3,492,REC-0261
CALL-0262,1,9,3,Phase-3,153,REC-0262
CALL-0263,1,9,3,Phase-3,283,REC-0263
CALL-0264,1,9,3,Phase-3,260,REC-0264
CALL-0265,1,9,3,Phase-3,95,REC-0265
CALL-0266,3,9,3,Phase-3,376,REC-0266
CALL-0267,3,9,3,Phase-3,51,REC-0267
CALL-0268,3,9,3,Phase-3,632,REC-0268
CALL-0269,3,9,3,Phase-3,597,REC-0269
CALL-0270,3,9,3,Phase-3,265,REC-0270
CALL-0271,13,9,3,Phase-3,632,REC-0271
CALL-0272,13,9,3,Phase-3,255,REC-0272
CALL-0273,51,9,3,Phase-3,37,REC-0273
CALL-0274,1,34,3,Phase-3,102,REC-0274
CALL-0275,1,34,3,Phase-3,754,REC-0275
CALL-0276,1,34,3,Phase-3,676,REC-0276
CALL-0277,2,34,3,Phase-3,90,REC-0277
CALL-0278,1,35,3,Phase-3,264,REC-0278
CALL-0279,83,11,3,Phase-3,99,REC-0279
CALL-0280,1,32,3,Phase-3,62,REC-0280
CALL-0281,2,32,3,Phase-3,368,REC-0281
CALL-0282,1,84,3,Phase-3,102,REC-0282
CALL-0283,1,84,3,Phase-3,556,REC-0283
CALL-0284,1,84,3,Phase-3,273,REC-0284
CALL-0285,1,84,3,Phase-3,315,REC-0285
CALL-0286,83,84,3,Phase-3,715,REC-0286
CALL-0287,83,84,3,Phase-3,527,REC-0287
CALL-0288,83,84,3,Phase-3,249,REC-0288
CALL-0289,49,84,3,Phase-3,582,REC-0289
CALL-0290,49,84,3,Phase-3,165,REC-0290
CALL-0291,1,49,3,Phase-3,770,REC-0291
CALL-0292,1,49,3,Phase-3,614,REC-0292
CALL-0293,1,49,3,Phase-3,620,REC-0293
CALL-0294,83,107,3,Phase-3,514,REC-0294
CALL-0295,83,107,3,Phase-3,278,REC-0295
CALL-0296,83,107,3,Phase-3,833,REC-0296
CALL-0297,86,107,3,Phase-3,514,REC-0297
CALL-0298,1,50,3,Phase-3,856,REC-0298
CALL-0299,1,50,3,Phase-3,446,REC-0299
CALL-0300,1,50,3,Phase-3,224,REC-0300
CALL-0301,3,99,3,Phase-3,126,REC-0301
CALL-0302,1,13,3,Phase-3,129,REC-0302
CALL-0303,1,13,3,Phase-3,704,REC-0303
CALL-0304,1,12,3,Phase-3,471,REC-0304
CALL-0305,1,12,3,Phase-3,392,REC-0305
CALL-0306,3,12,3,Phase-3,463,REC-0306
CALL-0307,3,12,3,Phase-3,450,REC-0307
CALL-0308,1,52,3,Phase-3,508,REC-0308
CALL-0309,83,52,3,Phase-3,776,REC-0309
CALL-0310,83,52,3,Phase-3,85,REC-0310
CALL-0311,84,52,3,Phase-3,719,REC-0311
CALL-0312,84,52,3,Phase-3,699,REC-0312
CALL-0313,89,1,4,Phase-4,691,REC-0313
CALL-0314,3,1,4,Phase-4,130,REC-0314
CALL-0315,3,1,4,Phase-4,92,REC-0315
CALL-0316,3,1,4,Phase-4,442,REC-0316
CALL-0317,3,1,4,Phase-4,775,REC-0317
CALL-0318,3,1,4,Phase-4,377,REC-0318
CALL-0319,5,1,4,Phase-4,849,REC-0319
CALL-0320,5,1,4,Phase-4,141,REC-0320
CALL-0321,5,1,4,Phase-4,284,REC-0321
CALL-0322,85,1,4,Phase-4,226,REC-0322
CALL-0323,85,1,4,Phase-4,224,REC-0323
CALL-0324,85,1,4,Phase-4,579,REC-0324
CALL-0325,85,1,4,Phase-4,489,REC-0325
CALL-0326,85,1,4,Phase-4,173,REC-0326
CALL-0327,90,1,4,Phase-4,462,REC-0327
CALL-0328,86,1,4,Phase-4,217,REC-0328
CALL-0329,86,1,4,Phase-4,315,REC-0329
CALL-0330,86,1,4,Phase-4,503,REC-0330
CALL-0331,2,1,4,Phase-4,285,REC-0331
CALL-0332,2,1,4,Phase-4,107,REC-0332
CALL-0333,2,1,4,Phase-4,483,REC-0333
CALL-0334,6,1,4,Phase-4,857,REC-0334
CALL-0335,6,1,4,Phase-4,593,REC-0335
CALL-0336,6,1,4,Phase-4,130,REC-0336
CALL-0337,6,1,4,Phase-4,81,REC-0337
CALL-0338,6,1,4,Phase-4,697,REC-0338
CALL-0339,11,1,4,Phase-4,583,REC-0339
CALL-0340,11,1,4,Phase-4,886,REC-0340
CALL-0341,11,1,4,Phase-4,45,REC-0341
CALL-0342,11,1,4,Phase-4,125,REC-0342
CALL-0343,11,1,4,Phase-4,801,REC-0343
CALL-0344,53,1,4,Phase-4,899,REC-0344
CALL-0345,84,1,4,Phase-4,272,REC-0345
CALL-0346,1,4,4,Phase-4,200,REC-0346
CALL-0347,1,89,4,Phase-4,446,REC-0347
CALL-0348,1,89,4,Phase-4,527,REC-0348
CALL-0349,1,89,4,Phase-4,522,REC-0349
CALL-0350,1,89,4,Phase-4,248,REC-0350
CALL-0351,1,89,4,Phase-4,440,REC-0351
CALL-0352,7,89,4,Phase-4,90,REC-0352
CALL-0353,7,89,4,Phase-4,198,REC-0353
CALL-0354,7,89,4,Phase-4,418,REC-0354
CALL-0355,1,83,4,Phase-4,32,REC-0355
CALL-0356,1,83,4,Phase-4,429,REC-0356
CALL-0357,1,83,4,Phase-4,301,REC-0357
CALL-0358,1,83,4,Phase-4,832,REC-0358
CALL-0359,1,83,4,Phase-4,833,REC-0359
CALL-0360,86,83,4,Phase-4,495,REC-0360
CALL-0361,86,83,4,Phase-4,322,REC-0361
CALL-0362,86,83,4,Phase-4,463,REC-0362
CALL-0363,86,83,4,Phase-4,743,REC-0363
CALL-0364,86,83,4,Phase-4,778,REC-0364
CALL-0365,84,83,4,Phase-4,832,REC-0365
CALL-0366,52,83,4,Phase-4,599,REC-0366
CALL-0367,52,83,4,Phase-4,707,REC-0367
CALL-0368,52,83,4,Phase-4,765,REC-0368
CALL-0369,52,83,4,Phase-4,528,REC-0369
CALL-0370,1,3,4,Phase-4,188,REC-0370
CALL-0371,1,3,4,Phase-4,224,REC-0371
CALL-0372,1,3,4,Phase-4,333,REC-0372
CALL-0373,1,3,4,Phase-4,252,REC-0373
CALL-0374,1,3,4,Phase-4,89,REC-0374
CALL-0375,85,3,4,Phase-4,623,REC-0375
CALL-0376,85,3,4,Phase-4,783,REC-0376
CALL-0377,90,3,4,Phase-4,585,REC-0377
CALL-0378,12,3,4,Phase-4,92,REC-0378
CALL-0379,1,5,4,Phase-4,795,REC-0379
CALL-0380,1,5,4,Phase-4,351,REC-0380
CALL-0381,1,5,4,Phase-4,88,REC-0381
CALL-0382,1,5,4,Phase-4,81,REC-0382
CALL-0383,1,5,4,Phase-4,628,REC-0383
CALL-0384,1,88,4,Phase-4,518,REC-0384
CALL-0385,1,88,4,Phase-4,544,REC-0385
CALL-0386,1,88,4,Phase-4,573,REC-0386
CALL-0387,1,88,4,Phase-4,191,REC-0387
CALL-0388,1,88,4,Phase-4,88,REC-0388
CALL-0389,85,88,4,Phase-4,550,REC-0389
CALL-0390,85,88,4,Phase-4,112,REC-0390
CALL-0391,85,88,4,Phase-4,220,REC-0391
CALL-0392,85,88,4,Phase-4,100,REC-0392
CALL-0393,85,88,4,Phase-4,639,REC-0393
CALL-0394,1,85,4,Phase-4,99,REC-0394
CALL-0395,1,85,4,Phase-4,721,REC-0395
CALL-0396,1,85,4,Phase-4,270,REC-0396
CALL-0397,1,85,4,Phase-4,443,REC-0397
CALL-0398,1,85,4,Phase-4,152,REC-0398
CALL-0399,83,85,4,Phase-4,613,REC-0399
CALL-0400,3,85,4,Phase-4,282,REC-0400
CALL-0401,3,85,4,Phase-4,622,REC-0401
CALL-0402,3,85,4,Phase-4,638,REC-0402
CALL-0403,88,85,4,Phase-4,70,REC-0403
CALL-0404,88,85,4,Phase-4,664,REC-0404
CALL-0405,76,85,4,Phase-4,113,REC-0405
CALL-0406,76,85,4,Phase-4,459,REC-0406
CALL-0407,76,85,4,Phase-4,703,REC-0407
CALL-0408,76,85,4,Phase-4,627,REC-0408
CALL-0409,76,85,4,Phase-4,608,REC-0409
CALL-0410,1,90,4,Phase-4,565,REC-0410
CALL-0411,1,86,4,Phase-4,353,REC-0411
CALL-0412,1,86,4,Phase-4,297,REC-0412
CALL-0413,1,86,4,Phase-4,239,REC-0413
CALL-0414,83,86,4,Phase-4,715,REC-0414
CALL-0415,83,86,4,Phase-4,763,REC-0415
CALL-0416,83,86,4,Phase-4,351,REC-0416
CALL-0417,83,86,4,Phase-4,274,REC-0417
CALL-0418,83,86,4,Phase-4,301,REC-0418
CALL-0419,1,2,4,Phase-4,435,REC-0419
CALL-0420,1,2,4,Phase-4,164,REC-0420
CALL-0421,1,2,4,Phase-4,717,REC-0421
CALL-0422,1,2,4,Phase-4,690,REC-0422
CALL-0423,1,2,4,Phase-4,337,REC-0423
CALL-0424,89,7,4,Phase-4,498,REC-0424
CALL-0425,89,7,4,Phase-4,353,REC-0425
CALL-0426,1,6,4,Phase-4,799,REC-0426
CALL-0427,1,6,4,Phase-4,104,REC-0427
CALL-0428,1,6,4,Phase-4,39,REC-0428
CALL-0429,1,6,4,Phase-4,499,REC-0429
CALL-0430,1,6,4,Phase-4,666,REC-0430
CALL-0431,1,8,4,Phase-4,606,REC-0431
CALL-0432,1,8,4,Phase-4,132,REC-0432
CALL-0433,1,8,4,Phase-4,105,REC-0433
CALL-0434,1,8,4,Phase-4,580,REC-0434
CALL-0435,1,8,4,Phase-4,248,REC-0435
CALL-0436,3,8,4,Phase-4,548,REC-0436
CALL-0437,1,47,4,Phase-4,301,REC-0437
CALL-0438,1,76,4,Phase-4,165,REC-0438
CALL-0439,1,76,4,Phase-4,387,REC-0439
CALL-0440,1,76,4,Phase-4,100,REC-0440
CALL-0441,1,76,4,Phase-4,280,REC-0441
CALL-0442,1,76,4,Phase-4,408,REC-0442
CALL-0443,85,76,4,Phase-4,321,REC-0443
CALL-0444,85,76,4,Phase-4,191,REC-0444
CALL-0445,85,76,4,Phase-4,478,REC-0445
CALL-0446,1,9,4,Phase-4,883,REC-0446
CALL-0447,1,9,4,Phase-4,586,REC-0447
CALL-0448,1,9,4,Phase-4,750,REC-0448
CALL-0449,1,9,4,Phase-4,339,REC-0449
CALL-0450,1,9,4,Phase-4,656,REC-0450
CALL-0451,3,9,4,Phase-4,856,REC-0451
CALL-0452,3,9,4,Phase-4,699,REC-0452
CALL-0453,3,9,4,Phase-4,571,REC-0453
CALL-0454,3,9,4,Phase-4,38,REC-0454
CALL-0455,3,9,4,Phase-4,713,REC-0455
CALL-0456,8,9,4,Phase-4,866,REC-0456
CALL-0457,8,9,4,Phase-4,597,REC-0457
CALL-0458,8,9,4,Phase-4,336,REC-0458
CALL-0459,8,9,4,Phase-4,709,REC-0459
CALL-0460,31,9,4,Phase-4,136,REC-0460
CALL-0461,8,35,4,Phase-4,167,REC-0461
CALL-0462,1,11,4,Phase-4,300,REC-0462
CALL-0463,1,11,4,Phase-4,148,REC-0463
CALL-0464,1,11,4,Phase-4,139,REC-0464
CALL-0465,83,84,4,Phase-4,790,REC-0465
CALL-0466,1,49,4,Phase-4,596,REC-0466
CALL-0467,89,49,4,Phase-4,189,REC-0467
CALL-0468,83,107,4,Phase-4,308,REC-0468
CALL-0469,86,107,4,Phase-4,318,REC-0469
CALL-0470,86,107,4,Phase-4,649,REC-0470
CALL-0471,1,13,4,Phase-4,245,REC-0471
CALL-0472,1,13,4,Phase-4,764,REC-0472
CALL-0473,1,13,4,Phase-4,381,REC-0473
CALL-0474,1,13,4,Phase-4,238,REC-0474
CALL-0475,1,13,4,Phase-4,733,REC-0475
CALL-0476,13,51,4,Phase-4,679,REC-0476
CALL-0477,107,63,4,Phase-4,300,REC-0477
CALL-0478,107,63,4,Phase-4,547,REC-0478
CALL-0479,107,63,4,Phase-4,530,REC-0479
CALL-0480,107,63,4,Phase-4,287,REC-0480
CALL-0481,107,63,4,Phase-4,896,REC-0481
CALL-0482,89,109,4,Phase-4,82,REC-0482
CALL-0483,89,109,4,Phase-4,124,REC-0483
CALL-0484,89,31,4,Phase-4,679,REC-0484
CALL-0485,3,31,4,Phase-4,463,REC-0485
CALL-0486,3,31,4,Phase-4,879,REC-0486
CALL-0487,3,31,4,Phase-4,313,REC-0487
CALL-0488,3,31,4,Phase-4,75,REC-0488
CALL-0489,3,31,4,Phase-4,33,REC-0489
CALL-0490,3,12,4,Phase-4,371,REC-0490
CALL-0491,3,12,4,Phase-4,819,REC-0491
CALL-0492,89,14,4,Phase-4,163,REC-0492
CALL-0493,1,52,4,Phase-4,682,REC-0493
CALL-0494,1,52,4,Phase-4,298,REC-0494
CALL-0495,83,52,4,Phase-4,195,REC-0495
CALL-0496,83,52,4,Phase-4,789,REC-0496
CALL-0497,1,106,4,Phase-4,482,REC-0497
CALL-0498,83,106,4,Phase-4,594,REC-0498
CALL-0499,1,15,4,Phase-4,752,REC-0499
CALL-0500,1,15,4,Phase-4,467,REC-0500
CALL-0501,1,15,4,Phase-4,604,REC-0501
CALL-0502,1,15,4,Phase-4,39,REC-0502
CALL-0503,1,15,4,Phase-4,144,REC-0503
CALL-0504,3,1,5,Phase-5,107,REC-0504
CALL-0505,2,1,5,Phase-5,737,REC-0505
CALL-0506,6,1,5,Phase-5,182,REC-0506
CALL-0507,6,1,5,Phase-5,588,REC-0507
CALL-0508,6,1,5,Phase-5,66,REC-0508
CALL-0509,6,1,5,Phase-5,884,REC-0509
CALL-0510,6,1,5,Phase-5,408,REC-0510
CALL-0511,76,1,5,Phase-5,626,REC-0511
CALL-0512,76,1,5,Phase-5,595,REC-0512
CALL-0513,11,1,5,Phase-5,181,REC-0513
CALL-0514,11,1,5,Phase-5,470,REC-0514
CALL-0515,11,1,5,Phase-5,160,REC-0515
CALL-0516,11,1,5,Phase-5,72,REC-0516
