location_id,person_id,actor_id,phase,location,latitude,longitude,source
LOC-0074,P025,25,Phase-2,Hyderabad,17.385,78.4867,locations_synthetic
LOC-0075,P025,25,Phase-3,Ahmedabad,23.0225,72.5714,locations_synthetic
LOC-0076,P026,26,Phase-1,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0077,P026,26,Phase-2,Hyderabad,17.385,78.4867,locations_synthetic
LOC-0078,P026,26,Phase-3,Jaipur,26.9124,75.7873,locations_synthetic
LOC-0079,P027,27,Phase-1,Pune,18.5204,73.8567,locations_synthetic
LOC-0080,P027,27,Phase-2,Chennai,13.0827,80.2707,locations_synthetic
LOC-0081,P027,27,Phase-3,Ahmedabad,23.0225,72.5714,locations_synthetic
LOC-0082,P028,28,Phase-1,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0083,P028,28,Phase-2,Kolkata,22.5726,88.3639,locations_synthetic
LOC-0084,P028,28,Phase-3,Delhi,28.6139,77.209,locations_synthetic
LOC-0085,P029,29,Phase-1,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0086,P029,29,Phase-2,Delhi,28.6139,77.209,locations_synthetic
LOC-0087,P029,29,Phase-3,Kolkata,22.5726,88.3639,locations_synthetic
LOC-0088,P030,30,Phase-1,Pune,18.5204,73.8567,locations_synthetic
LOC-0089,P030,30,Phase-2,Chennai,13.0827,80.2707,locations_synthetic
LOC-0090,P030,30,Phase-3,Mumbai,19.076,72.8777,locations_synthetic
LOC-0091,P031,31,Phase-1,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0092,P031,31,Phase-2,Lucknow,26.8467,80.9462,locations_synthetic
LOC-0093,P031,31,Phase-3,Kolkata,22.5726,88.3639,locations_synthetic
LOC-0094,P032,32,Phase-1,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0095,P032,32,Phase-2,Jaipur,26.9124,75.7873,locations_synthetic
LOC-0096,P032,32,Phase-3,Pune,18.5204,73.8567,locations_synthetic
LOC-0097,P033,33,Phase-1,Jaipur,26.9124,75.7873,locations_synthetic
LOC-0098,P033,33,Phase-2,Hyderabad,17.385,78.4867,locations_synthetic
LOC-0099,P033,33,Phase-3,Chennai,13.0827,80.2707,locations_synthetic
LOC-0100,P034,34,Phase-1,Hyderabad,17.385,78.4867,locations_synthetic
LOC-0101,P034,34,Phase-2,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0102,P034,34,Phase-3,Ahmedabad,23.0225,72.5714,locations_synthetic
LOC-0103,P035,35,Phase-1,Ahmedabad,23.0225,72.5714,locations_synthetic
LOC-0104,P035,35,Phase-2,Chennai,13.0827,80.2707,locations_synthetic
LOC-0105,P035,35,Phase-3,Lucknow,26.8467,80.9462,locations_synthetic
LOC-0106,P036,36,Phase-1,Pune,18.5204,73.8567,locations_synthetic
LOC-0107,P036,36,Phase-2,Lucknow,26.8467,80.9462,locations_synthetic
LOC-0108,P036,36,Phase-3,Pune,18.5204,73.8567,locations_synthetic
LOC-0109,P037,37,Phase-1,Kolkata,22.5726,88.3639,locations_synthetic
LOC-0110,P037,37,Phase-2,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0111,P037,37,Phase-3,Hyderabad,17.385,78.4867,locations_synthetic
LOC-0112,P038,38,Phase-1,Ahmedabad,23.0225,72.5714,locations_synthetic
LOC-0113,P038,38,Phase-2,Jaipur,26.9124,75.7873,locations_synthetic
LOC-0114,P038,38,Phase-3,Mumbai,19.076,72.8777,locations_synthetic
LOC-0115,P039,39,Phase-1,Delhi,28.6139,77.209,locations_synthetic
LOC-0116,P039,39,Phase-2,Mumbai,19.076,72.8777,locations_synthetic
LOC-0117,P039,39,Phase-3,Hyderabad,17.385,78.4867,locations_synthetic
LOC-0118,P040,40,Phase-1,Hyderabad,17.385,78.4867,locations_synthetic
LOC-0119,P040,40,Phase-2,Pune,18.5204,73.8567,locations_synthetic
LOC-0120,P040,40,Phase-3,Lucknow,26.8467,80.9462,locations_synthetic
LOC-0121,P041,41,Phase-1,Mumbai,19.076,72.8777,locations_synthetic
LOC-0122,P041,41,Phase-2,Pune,18.5204,73.8567,locations_synthetic
LOC-0123,P041,41,Phase-3,Pune,18.5204,73.8567,locations_synthetic
LOC-0124,P042,42,Phase-1,Lucknow,26.8467,80.9462,locations_synthetic
LOC-0125,P042,42,Phase-2,Jaipur,26.9124,75.7873,locations_synthetic
LOC-0126,P042,42,Phase-3,Ahmedabad,23.0225,72.5714,locations_synthetic
LOC-0127,P043,43,Phase-1,Chennai,13.0827,80.2707,locations_synthetic
LOC-0128,P043,43,Phase-2,Ahmedabad,23.0225,72.5714,locations_synthetic
LOC-0129,P043,43,Phase-3,Delhi,28.6139,77.209,locations_synthetic
LOC-0130,P044,44,Phase-1,Mumbai,19.076,72.8777,locations_synthetic
LOC-0131,P044,44,Phase-2,Ahmedabad,23.0225,72.5714,locations_synthetic
LOC-0132,P044,44,Phase-3,Chennai,13.0827,80.2707,locations_synthetic
LOC-0133,P045,45,Phase-1,Kolkata,22.5726,88.3639,locations_synthetic
LOC-0134,P045,45,Phase-2,Mumbai,19.076,72.8777,locations_synthetic
LOC-0135,P045,45,Phase-3,Chennai,13.0827,80.2707,locations_synthetic
LOC-0136,P046,46,Phase-1,Pune,18.5204,73.8567,locations_synthetic
LOC-0137,P046,46,Phase-2,Hyderabad,17.385,78.4867,locations_synthetic
LOC-0138,P046,46,Phase-3,Jaipur,26.9124,75.7873,locations_synthetic
LOC-0139,P047,47,Phase-1,Delhi,28.6139,77.209,locations_synthetic
LOC-0140,P047,47,Phase-2,Chennai,13.0827,80.2707,locations_synthetic
LOC-0141,P047,47,Phase-3,Ahmedabad,23.0225,72.5714,locations_synthetic
LOC-0142,P048,48,Phase-1,Hyderabad,17.385,78.4867,locations_synthetic
LOC-0143,P048,48,Phase-2,Ahmedabad,23.0225,72.5714,locations_synthetic
LOC-0144,P048,48,Phase-3,Mumbai,19.076,72.8777,locations_synthetic
LOC-0145,P049,49,Phase-1,Chennai,13.0827,80.2707,locations_synthetic
LOC-0146,P049,49,Phase-2,Ahmedabad,23.0225,72.5714,locations_synthetic
LOC-0147,P049,49,Phase-3,Lucknow,26.8467,80.9462,locations_synthetic
LOC-0148,P050,50,Phase-1,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0149,P050,50,Phase-2,Hyderabad,17.385,78.4867,locations_synthetic
LOC-0150,P050,50,Phase-3,Kolkata,22.5726,88.3639,locations_synthetic
LOC-0151,P051,51,Phase-1,Hyderabad,17.385,78.4867,locations_synthetic
LOC-0152,P051,51,Phase-2,Ahmedabad,23.0225,72.5714,locations_synthetic
LOC-0153,P051,51,Phase-3,Ahmedabad,23.0225,72.5714,locations_synthetic
LOC-0154,P052,52,Phase-1,Delhi,28.6139,77.209,locations_synthetic
LOC-0155,P052,52,Phase-2,Lucknow,26.8467,80.9462,locations_synthetic
LOC-0156,P052,52,Phase-3,Kolkata,22.5726,88.3639,locations_synthetic
LOC-0157,P053,53,Phase-1,Jaipur,26.9124,75.7873,locations_synthetic
LOC-0158,P053,53,Phase-2,Delhi,28.6139,77.209,locations_synthetic
LOC-0159,P053,53,Phase-3,Mumbai,19.076,72.8777,locations_synthetic
LOC-0160,P054,54,Phase-1,Kolkata,22.5726,88.3639,locations_synthetic
LOC-0161,P054,54,Phase-2,Chennai,13.0827,80.2707,locations_synthetic
LOC-0162,P054,54,Phase-3,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0163,P055,55,Phase-1,Delhi,28.6139,77.209,locations_synthetic
LOC-0164,P055,55,Phase-2,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0165,P055,55,Phase-3,Lucknow,26.8467,80.9462,locations_synthetic
LOC-0166,P056,56,Phase-1,Mumbai,19.076,72.8777,locations_synthetic
LOC-0167,P056,56,Phase-2,Mumbai,19.076,72.8777,locations_synthetic
LOC-0168,P056,56,Phase-3,Jaipur,26.9124,75.7873,locations_synthetic
LOC-0169,P058,58,Phase-1,Mumbai,19.076,72.8777,locations_synthetic
LOC-0170,P058,58,Phase-2,Ahmedabad,23.0225,72.5714,locations_synthetic
LOC-0171,P058,58,Phase-3,Hyderabad,17.385,78.4867,locations_synthetic
LOC-0172,P059,59,Phase-1,Hyderabad,17.385,78.4867,locations_synthetic
LOC-0173,P059,59,Phase-2,Jaipur,26.9124,75.7873,locations_synthetic
LOC-0174,P059,59,Phase-3,Ahmedabad,23.0225,72.5714,locations_synthetic
LOC-0175,P061,61,Phase-1,Hyderabad,17.385,78.4867,locations_synthetic
LOC-0176,P061,61,Phase-2,Chennai,13.0827,80.2707,locations_synthetic
LOC-0177,P061,61,Phase-3,Ahmedabad,23.0225,72.5714,locations_synthetic
LOC-0178,P062,62,Phase-1,Lucknow,26.8467,80.9462,locations_synthetic
LOC-0179,P062,62,Phase-2,Pune,18.5204,73.8567,locations_synthetic
LOC-0180,P062,62,Phase-3,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0181,P063,63,Phase-1,Ahmedabad,23.0225,72.5714,locations_synthetic
LOC-0182,P063,63,Phase-2,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0183,P063,63,Phase-3,Chennai,13.0827,80.2707,locations_synthetic
LOC-0184,P064,64,Phase-1,Pune,18.5204,73.8567,locations_synthetic
LOC-0185,P064,64,Phase-2,Kolkata,22.5726,88.3639,locations_synthetic
LOC-0186,P064,64,Phase-3,Jaipur,26.9124,75.7873,locations_synthetic
LOC-0187,P065,65,Phase-1,Ahmedabad,23.0225,72.5714,locations_synthetic
LOC-0188,P065,65,Phase-2,Jaipur,26.9124,75.7873,locations_synthetic
LOC-0189,P065,65,Phase-3,Mumbai,19.076,72.8777,locations_synthetic
LOC-0190,P066,66,Phase-1,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0191,P066,66,Phase-2,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0192,P066,66,Phase-3,Mumbai,19.076,72.8777,locations_synthetic
LOC-0193,P067,67,Phase-1,Kolkata,22.5726,88.3639,locations_synthetic
LOC-0194,P067,67,Phase-2,Delhi,28.6139,77.209,locations_synthetic
LOC-0195,P067,67,Phase-3,Lucknow,26.8467,80.9462,locations_synthetic
LOC-0196,P068,68,Phase-1,Ahmedabad,23.0225,72.5714,locations_synthetic
LOC-0197,P068,68,Phase-2,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0198,P068,68,Phase-3,Lucknow,26.8467,80.9462,locations_synthetic
LOC-0199,P069,69,Phase-1,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0200,P069,69,Phase-2,Delhi,28.6139,77.209,locations_synthetic
LOC-0201,P069,69,Phase-3,Mumbai,19.076,72.8777,locations_synthetic
LOC-0202,P070,70,Phase-1,Delhi,28.6139,77.209,locations_synthetic
LOC-0203,P070,70,Phase-2,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0204,P070,70,Phase-3,Mumbai,19.076,72.8777,locations_synthetic
LOC-0205,P071,71,Phase-1,Delhi,28.6139,77.209,locations_synthetic
LOC-0206,P071,71,Phase-2,Kolkata,22.5726,88.3639,locations_synthetic
LOC-0207,P071,71,Phase-3,Mumbai,19.076,72.8777,locations_synthetic
LOC-0208,P072,72,Phase-1,Ahmedabad,23.0225,72.5714,locations_synthetic
LOC-0209,P072,72,Phase-2,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0210,P072,72,Phase-3,Chennai,13.0827,80.2707,locations_synthetic
LOC-0211,P073,73,Phase-1,Jaipur,26.9124,75.7873,locations_synthetic
LOC-0212,P073,73,Phase-2,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0213,P073,73,Phase-3,Ahmedabad,23.0225,72.5714,locations_synthetic
LOC-0214,P074,74,Phase-1,Hyderabad,17.385,78.4867,locations_synthetic
LOC-0215,P074,74,Phase-2,Lucknow,26.8467,80.9462,locations_synthetic
LOC-0216,P074,74,Phase-3,Lucknow,26.8467,80.9462,locations_synthetic
LOC-0217,P075,75,Phase-1,Jaipur,26.9124,75.7873,locations_synthetic
LOC-0218,P075,75,Phase-2,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0219,P075,75,Phase-3,Jaipur,26.9124,75.7873,locations_synthetic
LOC-0220,P076,76,Phase-1,Pune,18.5204,73.8567,locations_synthetic
LOC-0221,P076,76,Phase-2,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0222,P076,76,Phase-3,Mumbai,19.076,72.8777,locations_synthetic
LOC-0223,P077,77,Phase-1,Mumbai,19.076,72.8777,locations_synthetic
LOC-0224,P077,77,Phase-2,Pune,18.5204,73.8567,locations_synthetic
LOC-0225,P077,77,Phase-3,Kolkata,22.5726,88.3639,locations_synthetic
LOC-0226,P078,78,Phase-1,Pune,18.5204,73.8567,locations_synthetic
LOC-0227,P078,78,Phase-2,Pune,18.5204,73.8567,locations_synthetic
LOC-0228,P078,78,Phase-3,Jaipur,26.9124,75.7873,locations_synthetic
LOC-0229,P079,79,Phase-1,Delhi,28.6139,77.209,locations_synthetic
LOC-0230,P079,79,Phase-2,Mumbai,19.076,72.8777,locations_synthetic
LOC-0231,P079,79,Phase-3,Delhi,28.6139,77.209,locations_synthetic
LOC-0232,P080,80,Phase-1,Pune,18.5204,73.8567,locations_synthetic
LOC-0233,P080,80,Phase-2,Kolkata,22.5726,88.3639,locations_synthetic
LOC-0234,P080,80,Phase-3,Mumbai,19.076,72.8777,locations_synthetic
LOC-0235,P081,81,Phase-1,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0236,P081,81,Phase-2,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0237,P081,81,Phase-3,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0238,P082,82,Phase-1,Ahmedabad,23.0225,72.5714,locations_synthetic
LOC-0239,P082,82,Phase-2,Jaipur,26.9124,75.7873,locations_synthetic
LOC-0240,P082,82,Phase-3,Hyderabad,17.385,78.4867,locations_synthetic
LOC-0241,P083,83,Phase-1,Pune,18.5204,73.8567,locations_synthetic
LOC-0242,P083,83,Phase-2,Hyderabad,17.385,78.4867,locations_synthetic
LOC-0243,P083,83,Phase-3,Chennai,13.0827,80.2707,locations_synthetic
LOC-0244,P084,84,Phase-1,Jaipur,26.9124,75.7873,locations_synthetic
LOC-0245,P084,84,Phase-2,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0246,P084,84,Phase-3,Mumbai,19.076,72.8777,locations_synthetic
LOC-0247,P085,85,Phase-1,Jaipur,26.9124,75.7873,locations_synthetic
LOC-0248,P085,85,Phase-2,Ahmedabad,23.0225,72.5714,locations_synthetic
LOC-0249,P085,85,Phase-3,Mumbai,19.076,72.8777,locations_synthetic
LOC-0250,P086,86,Phase-1,Delhi,28.6139,77.209,locations_synthetic
LOC-0251,P086,86,Phase-2,Ahmedabad,23.0225,72.5714,locations_synthetic
LOC-0252,P086,86,Phase-3,Delhi,28.6139,77.209,locations_synthetic
LOC-0253,P087,87,Phase-1,Mumbai,19.076,72.8777,locations_synthetic
LOC-0254,P087,87,Phase-2,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0255,P087,87,Phase-3,Hyderabad,17.385,78.4867,locations_synthetic
LOC-0256,P088,88,Phase-1,Pune,18.5204,73.8567,locations_synthetic
LOC-0257,P088,88,Phase-2,Jaipur,26.9124,75.7873,locations_synthetic
LOC-0258,P088,88,Phase-3,Jaipur,26.9124,75.7873,locations_synthetic
LOC-0259,P089,89,Phase-1,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0260,P089,89,Phase-2,Pune,18.5204,73.8567,locations_synthetic
LOC-0261,P089,89,Phase-3,Delhi,28.6139,77.209,locations_synthetic
LOC-0262,P090,90,Phase-1,Hyderabad,17.385,78.4867,locations_synthetic
LOC-0263,P090,90,Phase-2,Pune,18.5204,73.8567,locations_synthetic
LOC-0264,P090,90,Phase-3,Delhi,28.6139,77.209,locations_synthetic
LOC-0265,P091,91,Phase-1,Pune,18.5204,73.8567,locations_synthetic
LOC-0266,P091,91,Phase-2,Chennai,13.0827,80.2707,locations_synthetic
LOC-0267,P091,91,Phase-3,Jaipur,26.9124,75.7873,locations_synthetic
LOC-0268,P092,92,Phase-1,Chennai,13.0827,80.2707,locations_synthetic
LOC-0269,P092,92,Phase-2,Pune,18.5204,73.8567,locations_synthetic
LOC-0270,P092,92,Phase-3,Ahmedabad,23.0225,72.5714,locations_synthetic
LOC-0271,P093,93,Phase-1,Jaipur,26.9124,75.7873,locations_synthetic
LOC-0272,P093,93,Phase-2,Hyderabad,17.385,78.4867,locations_synthetic
LOC-0273,P093,93,Phase-3,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0274,P094,94,Phase-1,Chennai,13.0827,80.2707,locations_synthetic
LOC-0275,P094,94,Phase-2,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0276,P094,94,Phase-3,Delhi,28.6139,77.209,locations_synthetic
LOC-0277,P095,95,Phase-1,Lucknow,26.8467,80.9462,locations_synthetic
LOC-0278,P095,95,Phase-2,Ahmedabad,23.0225,72.5714,locations_synthetic
LOC-0279,P095,95,Phase-3,Delhi,28.6139,77.209,locations_synthetic
LOC-0280,P096,96,Phase-1,Kolkata,22.5726,88.3639,locations_synthetic
LOC-0281,P096,96,Phase-2,Delhi,28.6139,77.209,locations_synthetic
LOC-0282,P096,96,Phase-3,Delhi,28.6139,77.209,locations_synthetic
LOC-0283,P097,97,Phase-1,Lucknow,26.8467,80.9462,locations_synthetic
LOC-0284,P097,97,Phase-2,Jaipur,26.9124,75.7873,locations_synthetic
LOC-0285,P097,97,Phase-3,Ahmedabad,23.0225,72.5714,locations_synthetic
LOC-0286,P098,98,Phase-1,Ahmedabad,23.0225,72.5714,locations_synthetic
LOC-0287,P098,98,Phase-2,Hyderabad,17.385,78.4867,locations_synthetic
LOC-0288,P098,98,Phase-3,Delhi,28.6139,77.209,locations_synthetic
LOC-0289,P099,99,Phase-1,Ahmedabad,23.0225,72.5714,locations_synthetic
LOC-0290,P099,99,Phase-2,Mumbai,19.076,72.8777,locations_synthetic
LOC-0291,P099,99,Phase-3,Hyderabad,17.385,78.4867,locations_synthetic
LOC-0292,P100,100,Phase-1,Mumbai,19.076,72.8777,locations_synthetic
LOC-0293,P100,100,Phase-2,Lucknow,26.8467,80.9462,locations_synthetic
LOC-0294,P100,100,Phase-3,Mumbai,19.076,72.8777,locations_synthetic
LOC-0295,P101,101,Phase-1,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0296,P101,101,Phase-2,Pune,18.5204,73.8567,locations_synthetic
LOC-0297,P101,101,Phase-3,Mumbai,19.076,72.8777,locations_synthetic
LOC-0298,P102,102,Phase-1,Lucknow,26.8467,80.9462,locations_synthetic
LOC-0299,P102,102,Phase-2,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0300,P102,102,Phase-3,Lucknow,26.8467,80.9462,locations_synthetic
LOC-0301,P103,103,Phase-1,Lucknow,26.8467,80.9462,locations_synthetic
LOC-0302,P103,103,Phase-2,Delhi,28.6139,77.209,locations_synthetic
LOC-0303,P103,103,Phase-3,Lucknow,26.8467,80.9462,locations_synthetic
LOC-0304,P104,104,Phase-1,Mumbai,19.076,72.8777,locations_synthetic
LOC-0305,P104,104,Phase-2,Pune,18.5204,73.8567,locations_synthetic
LOC-0306,P104,104,Phase-3,Lucknow,26.8467,80.9462,locations_synthetic
LOC-0307,P105,105,Phase-1,Lucknow,26.8467,80.9462,locations_synthetic
LOC-0308,P105,105,Phase-2,Ahmedabad,23.0225,72.5714,locations_synthetic
LOC-0309,P105,105,Phase-3,Kolkata,22.5726,88.3639,locations_synthetic
LOC-0310,P106,106,Phase-1,Chennai,13.0827,80.2707,locations_synthetic
LOC-0311,P106,106,Phase-2,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0312,P106,106,Phase-3,Kolkata,22.5726,88.3639,locations_synthetic
LOC-0313,P107,107,Phase-1,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0314,P107,107,Phase-2,Chennai,13.0827,80.2707,locations_synthetic
LOC-0315,P107,107,Phase-3,Pune,18.5204,73.8567,locations_synthetic
LOC-0316,P108,108,Phase-1,Hyderabad,17.385,78.4867,locations_synthetic
LOC-0317,P108,108,Phase-2,Chennai,13.0827,80.2707,locations_synthetic
LOC-0318,P108,108,Phase-3,Jaipur,26.9124,75.7873,locations_synthetic
LOC-0319,P109,109,Phase-1,Kolkata,22.5726,88.3639,locations_synthetic
LOC-0320,P109,109,Phase-2,Mumbai,19.076,72.8777,locations_synthetic
LOC-0321,P109,109,Phase-3,Delhi,28.6139,77.209,locations_synthetic
