report_id,actor_id,person_id,report_type,phase,classification,summary,source_reliability,information_credibility,source
INT-00119,55,P055,FIELD_REPORT,Phase-3,SENSITIVE,Synthetic intelligence note concerning meeting associated with the subject.,A,3,synthetic_intelligence
INT-00120,104,P104,ANALYST_NOTE,Phase-3,ROUTINE,Synthetic intelligence note concerning meeting associated with the subject.,C,3,synthetic_intelligence
INT-00121,40,P040,FIELD_REPORT,Phase-2,SENSITIVE,Synthetic intelligence note concerning association associated with the subject.,A,2,synthetic_intelligence
INT-00122,70,P070,TIP_OFF,Phase-3,WATCH,Synthetic intelligence note concerning association associated with the subject.,B,3,synthetic_intelligence
INT-00123,32,P032,SURVEILLANCE_NOTE,Phase-2,SENSITIVE,Synthetic intelligence note concerning movement associated with the subject.,B,3,synthetic_intelligence
INT-00124,99,P099,FIELD_REPORT,Phase-3,WATCH,Synthetic intelligence note concerning association associated with the subject.,C,1,synthetic_intelligence
INT-00125,96,P096,ANALYST_NOTE,Phase-2,SENSITIVE,Synthetic intelligence note concerning association associated with the subject.,A,2,synthetic_intelligence
INT-00126,63,P063,FIELD_REPORT,Phase-3,WATCH,Synthetic intelligence note concerning vehicle activity associated with the subject.,A,2,synthetic_intelligence
INT-00127,31,P031,TIP_OFF,Phase-2,SENSITIVE,Synthetic intelligence note concerning financial activity associated with the subject.,A,3,synthetic_intelligence
INT-00128,5,P005,TIP_OFF,Phase-2,ROUTINE,Synthetic intelligence note concerning movement associated with the subject.,B,1,synthetic_intelligence
INT-00129,17,P017,TIP_OFF,Phase-2,WATCH,Synthetic intelligence note concerning financial activity associated with the subject.,C,2,synthetic_intelligence
INT-00130,91,P091,FIELD_REPORT,Phase-2,WATCH,Synthetic intelligence note concerning vehicle activity associated with the subject.,A,1,synthetic_intelligence
INT-00131,25,P025,TIP_OFF,Phase-1,WATCH,Synthetic intelligence note concerning financial activity associated with the subject.,C,2,synthetic_intelligence
INT-00132,109,P109,TIP_OFF,Phase-1,ROUTINE,Synthetic intelligence note concerning meeting associated with the subject.,B,3,synthetic_intelligence
INT-00133,91,P091,TIP_OFF,Phase-1,WATCH,Synthetic intelligence note concerning association associated with the subject.,B,1,synthetic_intelligence
INT-00134,70,P070,FIELD_REPORT,Phase-3,ROUTINE,Synthetic intelligence note concerning movement associated with the subject.,B,2,synthetic_intelligence
INT-00135,50,P050,ANALYST_NOTE,Phase-2,ROUTINE,Synthetic intelligence note concerning vehicle activity associated with the subject.,B,3,synthetic_intelligence
INT-00136,26,P026,ANALYST_NOTE,Phase-1,ROUTINE,Synthetic intelligence note concerning financial activity associated with the subject.,A,1,synthetic_intelligence
INT-00137,53,P053,FIELD_REPORT,Phase-2,WATCH,Synthetic intelligence note concerning vehicle activity associated with the subject.,A,3,synthetic_intelligence
INT-00138,85,P085,TIP_OFF,Phase-2,ROUTINE,Synthetic intelligence note concerning communication associated with the subject.,B,3,synthetic_intelligence
INT-00139,45,P045,ANALYST_NOTE,Phase-1,ROUTINE,Synthetic intelligence note concerning financial activity associated with the subject.,A,2,synthetic_intelligence
INT-00140,81,P081,ANALYST_NOTE,Phase-2,WATCH,Synthetic intelligence note concerning meeting associated with the subject.,C,2,synthetic_intelligence
INT-00141,51,P051,FIELD_REPORT,Phase-2,WATCH,Synthetic intelligence note concerning communication associated with the subject.,B,1,synthetic_intelligence
INT-00142,41,P041,TIP_OFF,Phase-2,SENSITIVE,Synthetic intelligence note concerning communication associated with the subject.,B,2,synthetic_intelligence
INT-00143,17,P017,FIELD_REPORT,Phase-1,SENSITIVE,Synthetic intelligence note concerning meeting associated with the subject.,A,2,synthetic_intelligence
INT-00144,70,P070,FIELD_REPORT,Phase-1,WATCH,Synthetic intelligence note concerning association associated with the subject.,B,3,synthetic_intelligence
INT-00145,49,P049,SURVEILLANCE_NOTE,Phase-1,SENSITIVE,Synthetic intelligence note concerning meeting associated with the subject.,C,1,synthetic_intelligence
INT-00146,88,P088,SURVEILLANCE_NOTE,Phase-1,ROUTINE,Synthetic intelligence note concerning communication associated with the subject.,A,3,synthetic_intelligence
INT-00147,64,P064,TIP_OFF,Phase-1,WATCH,Synthetic intelligence note concerning movement associated with the subject.,A,1,synthetic_intelligence
INT-00148,66,P066,TIP_OFF,Phase-3,ROUTINE,Synthetic intelligence note concerning movement associated with the subject.,C,3,synthetic_intelligence
INT-00149,52,P052,TIP_OFF,Phase-2,SENSITIVE,Synthetic intelligence note concerning association associated with the subject.,A,3,synthetic_intelligence
INT-00150,53,P053,FIELD_REPORT,Phase-1,ROUTINE,Synthetic intelligence note concerning meeting associated with the subject.,C,1,synthetic_intelligence
