source_id,relationship,target_id,source,confidence
P089,INVOLVED_IN,CASE-1089,persons_synthetic,1.0
P090,USES,PH735568,persons_synthetic,1.0
P090,INVOLVED_IN,CASE-1090,persons_synthetic,1.0
P091,USES,PH648506,persons_synthetic,1.0
P091,INVOLVED_IN,CASE-1091,persons_synthetic,1.0
P092,USES,PH478786,persons_synthetic,1.0
P092,INVOLVED_IN,CASE-1092,persons_synthetic,1.0
P093,USES,PH469012,persons_synthetic,1.0
P093,INVOLVED_IN,CASE-1093,persons_synthetic,1.0
P094,USES,PH956459,persons_synthetic,1.0
P094,INVOLVED_IN,CASE-1094,persons_synthetic,1.0
P095,USES,PH595113,persons_synthetic,1.0
P095,INVOLVED_IN,CASE-1095,persons_synthetic,1.0
P096,USES,PH665249,persons_synthetic,1.0
P096,INVOLVED_IN,CASE-1096,persons_synthetic,1.0
P097,USES,PH573823,persons_synthetic,1.0
P097,INVOLVED_IN,CASE-1097,persons_synthetic,1.0
P098,USES,PH953718,persons_synthetic,1.0
P098,INVOLVED_IN,CASE-1098,persons_synthetic,1.0
P099,USES,PH822698,persons_synthetic,1.0
P099,INVOLVED_IN,CASE-1099,persons_synthetic,1.0
P100,USES,PH667861,persons_synthetic,1.0
P100,INVOLVED_IN,CASE-1100,persons_synthetic,1.0
P101,USES,PH049436,persons_synthetic,1.0
P101,INVOLVED_IN,CASE-1101,persons_synthetic,1.0
P102,USES,PH802744,persons_synthetic,1.0
P102,INVOLVED_IN,CASE-1102,persons_synthetic,1.0
P103,USES,PH758720,persons_synthetic,1.0
P103,INVOLVED_IN,CASE-1103,persons_synthetic,1.0
P104,USES,PH528321,persons_synthetic,1.0
P104,INVOLVED_IN,CASE-1104,persons_synthetic,1.0
P105,USES,PH893941,persons_synthetic,1.0
P105,INVOLVED_IN,CASE-1105,persons_synthetic,1.0
P106,USES,PH863730,persons_synthetic,1.0
P106,INVOLVED_IN,CASE-1106,persons_synthetic,1.0
P107,USES,PH452091,persons_synthetic,1.0
P107,INVOLVED_IN,CASE-1107,persons_synthetic,1.0
P108,USES,PH348124,persons_synthetic,1.0
P108,INVOLVED_IN,CASE-1108,persons_synthetic,1.0
P109,USES,PH437181,persons_synthetic,1.0
P109,INVOLVED_IN,CASE-1109,persons_synthetic,1.0
P089,CALLED,P001,call_records_synthetic,1.0
P083,CALLED,P001,call_records_synthetic,1.0
P003,CALLED,P001,call_records_synthetic,1.0
P003,CALLED,P001,call_records_synthetic,1.0
P088,CALLED,P001,call_records_synthetic,1.0
P085,CALLED,P001,call_records_synthetic,1.0
P001,CALLED,P004,call_records_synthetic,1.0
P001,CALLED,P089,call_records_synthetic,1.0
P001,CALLED,P089,call_records_synthetic,1.0
P001,CALLED,P089,call_records_synthetic,1.0
P001,CALLED,P089,call_records_synthetic,1.0
P007,CALLED,P089,call_records_synthetic,1.0
P007,CALLED,P089,call_records_synthetic,1.0
P001,CALLED,P003,call_records_synthetic,1.0
P001,CALLED,P003,call_records_synthetic,1.0
P001,CALLED,P003,call_records_synthetic,1.0
P001,CALLED,P003,call_records_synthetic,1.0
P088,CALLED,P003,call_records_synthetic,1.0
P001,CALLED,P005,call_records_synthetic,1.0
P001,CALLED,P005,call_records_synthetic,1.0
P001,CALLED,P088,call_records_synthetic,1.0
P001,CALLED,P088,call_records_synthetic,1.0
P003,CALLED,P088,call_records_synthetic,1.0
P085,CALLED,P088,call_records_synthetic,1.0
P085,CALLED,P088,call_records_synthetic,1.0
P006,CALLED,P088,call_records_synthetic,1.0
P001,CALLED,P085,call_records_synthetic,1.0
P001,CALLED,P085,call_records_synthetic,1.0
P001,CALLED,P085,call_records_synthetic,1.0
P001,CALLED,P085,call_records_synthetic,1.0
P001,CALLED,P085,call_records_synthetic,1.0
P088,CALLED,P085,call_records_synthetic,1.0
P088,CALLED,P085,call_records_synthetic,1.0
P088,CALLED,P085,call_records_synthetic,1.0
P001,CALLED,P090,call_records_synthetic,1.0
P001,CALLED,P002,call_records_synthetic,1.0
P001,CALLED,P002,call_records_synthetic,1.0
P089,CALLED,P007,call_records_synthetic,1.0
P089,CALLED,P007,call_records_synthetic,1.0
P089,CALLED,P007,call_records_synthetic,1.0
P001,CALLED,P054,call_records_synthetic,1.0
P001,CALLED,P054,call_records_synthetic,1.0
P083,CALLED,P006,call_records_synthetic,1.0
P083,CALLED,P006,call_records_synthetic,1.0
P083,CALLED,P006,call_records_synthetic,1.0
P083,CALLED,P006,call_records_synthetic,1.0
P083,CALLED,P006,call_records_synthetic,1.0
P088,CALLED,P006,call_records_synthetic,1.0
P085,CALLED,P006,call_records_synthetic,1.0
P085,CALLED,P006,call_records_synthetic,1.0
P085,CALLED,P006,call_records_synthetic,1.0
P085,CALLED,P006,call_records_synthetic,1.0
P085,CALLED,P006,call_records_synthetic,1.0
P001,CALLED,P064,call_records_synthetic,1.0
P001,CALLED,P008,call_records_synthetic,1.0
P088,CALLED,P001,call_records_synthetic,1.0
P086,CALLED,P001,call_records_synthetic,1.0
P002,CALLED,P001,call_records_synthetic,1.0
P002,CALLED,P001,call_records_synthetic,1.0
P002,CALLED,P001,call_records_synthetic,1.0
P002,CALLED,P001,call_records_synthetic,1.0
P002,CALLED,P001,call_records_synthetic,1.0
P008,CALLED,P001,call_records_synthetic,1.0
P008,CALLED,P001,call_records_synthetic,1.0
P008,CALLED,P001,call_records_synthetic,1.0
P008,CALLED,P001,call_records_synthetic,1.0
P008,CALLED,P001,call_records_synthetic,1.0
P055,CALLED,P001,call_records_synthetic,1.0
P047,CALLED,P001,call_records_synthetic,1.0
P098,CALLED,P001,call_records_synthetic,1.0
P012,CALLED,P001,call_records_synthetic,1.0
P012,CALLED,P001,call_records_synthetic,1.0
P001,CALLED,P089,call_records_synthetic,1.0
P001,CALLED,P089,call_records_synthetic,1.0
P001,CALLED,P089,call_records_synthetic,1.0
P001,CALLED,P089,call_records_synthetic,1.0
P001,CALLED,P089,call_records_synthetic,1.0
P007,CALLED,P089,call_records_synthetic,1.0
P001,CALLED,P083,call_records_synthetic,1.0
P001,CALLED,P083,call_records_synthetic,1.0
P001,CALLED,P083,call_records_synthetic,1.0
P001,CALLED,P083,call_records_synthetic,1.0
P001,CALLED,P083,call_records_synthetic,1.0
P006,CALLED,P083,call_records_synthetic,1.0
P001,CALLED,P003,call_records_synthetic,1.0
P001,CALLED,P003,call_records_synthetic,1.0
P001,CALLED,P003,call_records_synthetic,1.0
P001,CALLED,P003,call_records_synthetic,1.0
P001,CALLED,P003,call_records_synthetic,1.0
P001,CALLED,P005,call_records_synthetic,1.0
P001,CALLED,P005,call_records_synthetic,1.0
P001,CALLED,P005,call_records_synthetic,1.0
P001,CALLED,P005,call_records_synthetic,1.0
P001,CALLED,P005,call_records_synthetic,1.0
P001,CALLED,P088,call_records_synthetic,1.0
P085,CALLED,P088,call_records_synthetic,1.0
P001,CALLED,P090,call_records_synthetic,1.0
P001,CALLED,P090,call_records_synthetic,1.0
P001,CALLED,P090,call_records_synthetic,1.0
P001,CALLED,P002,call_records_synthetic,1.0
P001,CALLED,P002,call_records_synthetic,1.0
P001,CALLED,P002,call_records_synthetic,1.0
P001,CALLED,P002,call_records_synthetic,1.0
P001,CALLED,P002,call_records_synthetic,1.0
P089,CALLED,P007,call_records_synthetic,1.0
P001,CALLED,P064,call_records_synthetic,1.0
P001,CALLED,P064,call_records_synthetic,1.0
P001,CALLED,P064,call_records_synthetic,1.0
P008,CALLED,P064,call_records_synthetic,1.0
P008,CALLED,P064,call_records_synthetic,1.0
P001,CALLED,P008,call_records_synthetic,1.0
P001,CALLED,P008,call_records_synthetic,1.0
P001,CALLED,P008,call_records_synthetic,1.0
P001,CALLED,P008,call_records_synthetic,1.0
P001,CALLED,P008,call_records_synthetic,1.0
P003,CALLED,P008,call_records_synthetic,1.0
P001,CALLED,P055,call_records_synthetic,1.0
P001,CALLED,P055,call_records_synthetic,1.0
P001,CALLED,P055,call_records_synthetic,1.0
P001,CALLED,P055,call_records_synthetic,1.0
P001,CALLED,P010,call_records_synthetic,1.0
P001,CALLED,P010,call_records_synthetic,1.0
P001,CALLED,P010,call_records_synthetic,1.0
P003,CALLED,P010,call_records_synthetic,1.0
P001,CALLED,P056,call_records_synthetic,1.0
P001,CALLED,P097,call_records_synthetic,1.0
P001,CALLED,P097,call_records_synthetic,1.0
P001,CALLED,P047,call_records_synthetic,1.0
P001,CALLED,P098,call_records_synthetic,1.0
P001,CALLED,P076,call_records_synthetic,1.0
P001,CALLED,P076,call_records_synthetic,1.0
P001,CALLED,P076,call_records_synthetic,1.0
P001,CALLED,P076,call_records_synthetic,1.0
P085,CALLED,P076,call_records_synthetic,1.0
P001,CALLED,P009,call_records_synthetic,1.0
P001,CALLED,P009,call_records_synthetic,1.0
P001,CALLED,P009,call_records_synthetic,1.0
P001,CALLED,P009,call_records_synthetic,1.0
P001,CALLED,P009,call_records_synthetic,1.0
P089,CALLED,P011,call_records_synthetic,1.0
P088,CALLED,P011,call_records_synthetic,1.0
P083,CALLED,P001,call_records_synthetic,1.0
P083,CALLED,P001,call_records_synthetic,1.0
P083,CALLED,P001,call_records_synthetic,1.0
P083,CALLED,P001,call_records_synthetic,1.0
P003,CALLED,P001,call_records_synthetic,1.0
P086,CALLED,P001,call_records_synthetic,1.0
P086,CALLED,P001,call_records_synthetic,1.0
P086,CALLED,P001,call_records_synthetic,1.0
P006,CALLED,P001,call_records_synthetic,1.0
P006,CALLED,P001,call_records_synthetic,1.0
P006,CALLED,P001,call_records_synthetic,1.0
P076,CALLED,P001,call_records_synthetic,1.0
P009,CALLED,P001,call_records_synthetic,1.0
P011,CALLED,P001,call_records_synthetic,1.0
P011,CALLED,P001,call_records_synthetic,1.0
P011,CALLED,P001,call_records_synthetic,1.0
P011,CALLED,P001,call_records_synthetic,1.0
P011,CALLED,P001,call_records_synthetic,1.0
P084,CALLED,P001,call_records_synthetic,1.0
P084,CALLED,P001,call_records_synthetic,1.0
P084,CALLED,P001,call_records_synthetic,1.0
P084,CALLED,P001,call_records_synthetic,1.0
P049,CALLED,P001,call_records_synthetic,1.0
P049,CALLED,P001,call_records_synthetic,1.0
P050,CALLED,P001,call_records_synthetic,1.0
P001,CALLED,P089,call_records_synthetic,1.0
P001,CALLED,P089,call_records_synthetic,1.0
P001,CALLED,P089,call_records_synthetic,1.0
P001,CALLED,P089,call_records_synthetic,1.0
P001,CALLED,P089,call_records_synthetic,1.0
P001,CALLED,P083,call_records_synthetic,1.0
P001,CALLED,P083,call_records_synthetic,1.0
P001,CALLED,P083,call_records_synthetic,1.0
P001,CALLED,P083,call_records_synthetic,1.0
P001,CALLED,P083,call_records_synthetic,1.0
P086,CALLED,P083,call_records_synthetic,1.0
P086,CALLED,P083,call_records_synthetic,1.0
P049,CALLED,P083,call_records_synthetic,1.0
P049,CALLED,P083,call_records_synthetic,1.0
P049,CALLED,P083,call_records_synthetic,1.0
P001,CALLED,P003,call_records_synthetic,1.0
P001,CALLED,P003,call_records_synthetic,1.0
P001,CALLED,P003,call_records_synthetic,1.0
P001,CALLED,P003,call_records_synthetic,1.0
P001,CALLED,P003,call_records_synthetic,1.0
P086,CALLED,P003,call_records_synthetic,1.0
P006,CALLED,P003,call_records_synthetic,1.0
P011,CALLED,P003,call_records_synthetic,1.0
P049,CALLED,P003,call_records_synthetic,1.0
P099,CALLED,P003,call_records_synthetic,1.0
P001,CALLED,P005,call_records_synthetic,1.0
P001,CALLED,P005,call_records_synthetic,1.0
P001,CALLED,P005,call_records_synthetic,1.0
P001,CALLED,P005,call_records_synthetic,1.0
P001,CALLED,P005,call_records_synthetic,1.0
P004,CALLED,P005,call_records_synthetic,1.0
P001,CALLED,P048,call_records_synthetic,1.0
P001,CALLED,P048,call_records_synthetic,1.0
P001,CALLED,P085,call_records_synthetic,1.0
P001,CALLED,P085,call_records_synthetic,1.0
P001,CALLED,P085,call_records_synthetic,1.0
P001,CALLED,P085,call_records_synthetic,1.0
P001,CALLED,P085,call_records_synthetic,1.0
P003,CALLED,P085,call_records_synthetic,1.0
P003,CALLED,P085,call_records_synthetic,1.0
P003,CALLED,P085,call_records_synthetic,1.0
P003,CALLED,P085,call_records_synthetic,1.0
P088,CALLED,P085,call_records_synthetic,1.0
P088,CALLED,P085,call_records_synthetic,1.0
P088,CALLED,P085,call_records_synthetic,1.0
P076,CALLED,P085,call_records_synthetic,1.0
P076,CALLED,P085,call_records_synthetic,1.0
P001,CALLED,P090,call_records_synthetic,1.0
P001,CALLED,P090,call_records_synthetic,1.0
P049,CALLED,P090,call_records_synthetic,1.0
P001,CALLED,P086,call_records_synthetic,1.0
P001,CALLED,P086,call_records_synthetic,1.0
P001,CALLED,P086,call_records_synthetic,1.0
P001,CALLED,P086,call_records_synthetic,1.0
P001,CALLED,P086,call_records_synthetic,1.0
P083,CALLED,P086,call_records_synthetic,1.0
P083,CALLED,P086,call_records_synthetic,1.0
P083,CALLED,P086,call_records_synthetic,1.0
P083,CALLED,P086,call_records_synthetic,1.0
P083,CALLED,P086,call_records_synthetic,1.0
P003,CALLED,P086,call_records_synthetic,1.0
P003,CALLED,P086,call_records_synthetic,1.0
P003,CALLED,P086,call_records_synthetic,1.0
P001,CALLED,P002,call_records_synthetic,1.0
P001,CALLED,P002,call_records_synthetic,1.0
P001,CALLED,P002,call_records_synthetic,1.0
P001,CALLED,P002,call_records_synthetic,1.0
P001,CALLED,P002,call_records_synthetic,1.0
P001,CALLED,P007,call_records_synthetic,1.0
P089,CALLED,P007,call_records_synthetic,1.0
P001,CALLED,P006,call_records_synthetic,1.0
P001,CALLED,P006,call_records_synthetic,1.0
P001,CALLED,P006,call_records_synthetic,1.0
P001,CALLED,P006,call_records_synthetic,1.0
P083,CALLED,P006,call_records_synthetic,1.0
P083,CALLED,P006,call_records_synthetic,1.0
P088,CALLED,P006,call_records_synthetic,1.0
P001,CALLED,P008,call_records_synthetic,1.0
P001,CALLED,P008,call_records_synthetic,1.0
P001,CALLED,P008,call_records_synthetic,1.0
P009,CALLED,P008,call_records_synthetic,1.0
P001,CALLED,P055,call_records_synthetic,1.0
P001,CALLED,P055,call_records_synthetic,1.0
P001,CALLED,P055,call_records_synthetic,1.0
P001,CALLED,P010,call_records_synthetic,1.0
P001,CALLED,P010,call_records_synthetic,1.0
P001,CALLED,P010,call_records_synthetic,1.0
P001,CALLED,P056,call_records_synthetic,1.0
P001,CALLED,P056,call_records_synthetic,1.0
P001,CALLED,P076,call_records_synthetic,1.0
P001,CALLED,P076,call_records_synthetic,1.0
P001,CALLED,P076,call_records_synthetic,1.0
P001,CALLED,P076,call_records_synthetic,1.0
P001,CALLED,P076,call_records_synthetic,1.0
P001,CALLED,P009,call_records_synthetic,1.0
P001,CALLED,P009,call_records_synthetic,1.0
P001,CALLED,P009,call_records_synthetic,1.0
P001,CALLED,P009,call_records_synthetic,1.0
P001,CALLED,P009,call_records_synthetic,1.0
P003,CALLED,P009,call_records_synthetic,1.0
P003,CALLED,P009,call_records_synthetic,1.0
P003,CALLED,P009,call_records_synthetic,1.0
P003,CALLED,P009,call_records_synthetic,1.0
P003,CALLED,P009,call_records_synthetic,1.0
P013,CALLED,P009,call_records_synthetic,1.0
P013,CALLED,P009,call_records_synthetic,1.0
P051,CALLED,P009,call_records_synthetic,1.0
P001,CALLED,P034,call_records_synthetic,1.0
P001,CALLED,P034,call_records_synthetic,1.0
P001,CALLED,P034,call_records_synthetic,1.0
P002,CALLED,P034,call_records_synthetic,1.0
P001,CALLED,P035,call_records_synthetic,1.0
P083,CALLED,P011,call_records_synthetic,1.0
P001,CALLED,P032,call_records_synthetic,1.0
P002,CALLED,P032,call_records_synthetic,1.0
P001,CALLED,P084,call_records_synthetic,1.0
P001,CALLED,P084,call_records_synthetic,1.0
P001,CALLED,P084,call_records_synthetic,1.0
P001,CALLED,P084,call_records_synthetic,1.0
P083,CALLED,P084,call_records_synthetic,1.0
P083,CALLED,P084,call_records_synthetic,1.0
P083,CALLED,P084,call_records_synthetic,1.0
P049,CALLED,P084,call_records_synthetic,1.0
P049,CALLED,P084,call_records_synthetic,1.0
P001,CALLED,P049,call_records_synthetic,1.0
P001,CALLED,P049,call_records_synthetic,1.0
P001,CALLED,P049,call_records_synthetic,1.0
P083,CALLED,P107,call_records_synthetic,1.0
P083,CALLED,P107,call_records_synthetic,1.0
P083,CALLED,P107,call_records_synthetic,1.0
P086,CALLED,P107,call_records_synthetic,1.0
P001,CALLED,P050,call_records_synthetic,1.0
P001,CALLED,P050,call_records_synthetic,1.0
P001,CALLED,P050,call_records_synthetic,1.0
P003,CALLED,P099,call_records_synthetic,1.0
P001,CALLED,P013,call_records_synthetic,1.0
P001,CALLED,P013,call_records_synthetic,1.0
P001,CALLED,P012,call_records_synthetic,1.0
P001,CALLED,P012,call_records_synthetic,1.0
P003,CALLED,P012,call_records_synthetic,1.0
P003,CALLED,P012,call_records_synthetic,1.0
P001,CALLED,P052,call_records_synthetic,1.0
P083,CALLED,P052,call_records_synthetic,1.0
P083,CALLED,P052,call_records_synthetic,1.0
P084,CALLED,P052,call_records_synthetic,1.0
P084,CALLED,P052,call_records_synthetic,1.0
P089,CALLED,P001,call_records_synthetic,1.0
P003,CALLED,P001,call_records_synthetic,1.0
P003,CALLED,P001,call_records_synthetic,1.0
P003,CALLED,P001,call_records_synthetic,1.0
P003,CALLED,P001,call_records_synthetic,1.0
P003,CALLED,P001,call_records_synthetic,1.0
P005,CALLED,P001,call_records_synthetic,1.0
P005,CALLED,P001,call_records_synthetic,1.0
P005,CALLED,P001,call_records_synthetic,1.0
P085,CALLED,P001,call_records_synthetic,1.0
P085,CALLED,P001,call_records_synthetic,1.0
P085,CALLED,P001,call_records_synthetic,1.0
P085,CALLED,P001,call_records_synthetic,1.0
P085,CALLED,P001,call_records_synthetic,1.0
P090,CALLED,P001,call_records_synthetic,1.0
P086,CALLED,P001,call_records_synthetic,1.0
P086,CALLED,P001,call_records_synthetic,1.0
P086,CALLED,P001,call_records_synthetic,1.0
P002,CALLED,P001,call_records_synthetic,1.0
P002,CALLED,P001,call_records_synthetic,1.0
P002,CALLED,P001,call_records_synthetic,1.0
P006,CALLED,P001,call_records_synthetic,1.0
P006,CALLED,P001,call_records_synthetic,1.0
P006,CALLED,P001,call_records_synthetic,1.0
