vehicle_id,actor_id,person_id,registration_number,make,vehicle_type,status,source
VEH-0065,24,P024,TN60NP4468,Toyota,Car,UNDER_VERIFICATION,synthetic_vehicle_records
VEH-0066,89,P089,WB59EF1870,Tata,Van,ACTIVE,synthetic_vehicle_records
VEH-0067,93,P093,WB44LM1836,Mahindra,Car,SEIZED,synthetic_vehicle_records
VEH-0068,94,P094,TN17EF8199,Kia,SUV,ACTIVE,synthetic_vehicle_records
VEH-0069,50,P050,KA53GH6310,Toyota,Car,ACTIVE,synthetic_vehicle_records
VEH-0070,15,P015,DL20LM9983,Maruti,Car,ACTIVE,synthetic_vehicle_records
VEH-0071,75,P075,KA92JK1339,Kia,Motorcycle,UNDER_VERIFICATION,synthetic_vehicle_records
VEH-0072,31,P031,TN36NP2791,Hyundai,Car,UNDER_VERIFICATION,synthetic_vehicle_records
VEH-0073,97,P097,TN83LM5029,Toyota,SUV,ACTIVE,synthetic_vehicle_records
VEH-0074,63,P063,TN27EF7311,Mahindra,Van,UNDER_VERIFICATION,synthetic_vehicle_records
VEH-0075,31,P031,DL31AB4252,Toyota,SUV,UNDER_VERIFICATION,synthetic_vehicle_records
VEH-0076,19,P019,DL10EF8778,Kia,Motorcycle,SEIZED,synthetic_vehicle_records
VEH-0077,66,P066,DL91AB5645,Toyota,Motorcycle,UNDER_VERIFICATION,synthetic_vehicle_records
VEH-0078,19,P019,DL47AB4340,Tata,Car,SEIZED,synthetic_vehicle_records
VEH-0079,109,P109,MH86AB1503,Honda,Motorcycle,SEIZED,synthetic_vehicle_records
VEH-0080,18,P018,MH77LM4782,Toyota,Van,ACTIVE,synthetic_vehicle_records
