case_id,case_type,case_status,priority,opened_phase,lead_unit,source
CASE-1085,Theft,OPEN,LOW,1,Special Investigation Unit,synthetic_case_master
CASE-1086,Organized Crime,CLOSED,CRITICAL,3,Cyber Cell,synthetic_case_master
CASE-1087,Assault,OPEN,CRITICAL,1,Special Investigation Unit,synthetic_case_master
CASE-1088,Extortion,UNDER_INVESTIGATION,CRITICAL,2,Cyber Cell,synthetic_case_master
CASE-1089,Extortion,CLOSED,CRITICAL,2,Special Investigation Unit,synthetic_case_master
CASE-1090,Fraud,UNDER_INVESTIGATION,LOW,2,Cyber Cell,synthetic_case_master
CASE-1091,Extortion,UNDER_INVESTIGATION,HIGH,1,Special Investigation Unit,synthetic_case_master
CASE-1092,Assault,OPEN,MEDIUM,1,Crime Branch,synthetic_case_master
CASE-1093,Extortion,OPEN,CRITICAL,3,Special Investigation Unit,synthetic_case_master
CASE-1094,Assault,UNDER_INVESTIGATION,HIGH,2,District Crime Unit,synthetic_case_master
CASE-1095,Robbery,OPEN,HIGH,2,Cyber Cell,synthetic_case_master
CASE-1096,Fraud,CLOSED,HIGH,2,District Crime Unit,synthetic_case_master
CASE-1097,Robbery,UNDER_INVESTIGATION,CRITICAL,2,Special Investigation Unit,synthetic_case_master
CASE-1098,Assault,OPEN,MEDIUM,3,Cyber Cell,synthetic_case_master
CASE-1099,Assault,UNDER_INVESTIGATION,HIGH,2,District Crime Unit,synthetic_case_master
CASE-1100,Assault,OPEN,HIGH,3,Cyber Cell,synthetic_case_master
CASE-1101,Theft,UNDER_INVESTIGATION,HIGH,1,Cyber Cell,synthetic_case_master
CASE-1102,Robbery,CLOSED,LOW,2,Cyber Cell,synthetic_case_master
CASE-1103,Fraud,CLOSED,CRITICAL,2,Cyber Cell,synthetic_case_master
CASE-1104,Organized Crime,OPEN,LOW,2,Crime Branch,synthetic_case_master
CASE-1105,Cyber Crime,CLOSED,LOW,3,Special Investigation Unit,synthetic_case_master
CASE-1106,Extortion,CLOSED,LOW,2,Special Investigation Unit,synthetic_case_master
CASE-1107,Organized Crime,CLOSED,HIGH,2,Special Investigation Unit,synthetic_case_master
CASE-1108,Fraud,UNDER_INVESTIGATION,HIGH,2,Crime Branch,synthetic_case_master
CASE-1109,Organized Crime,OPEN,LOW,3,Cyber Cell,synthetic_case_master
