section_id,section_code,law_name,source
SEC-0082,368,IPC / Other Act (source-derived code),FIR_details.json
SEC-0083,370,IPC / Other Act (source-derived code),FIR_details.json
SEC-0084,374,IPC / Other Act (source-derived code),FIR_details.json
SEC-0085,3747,IPC / Other Act (source-derived code),FIR_details.json
SEC-0086,376,IPC / Other Act (source-derived code),FIR_details.json
SEC-0087,379,IPC / Other Act (source-derived code),FIR_details.json
SEC-0088,380,IPC / Other Act (source-derived code),FIR_details.json
SEC-0089,381,IPC / Other Act (source-derived code),FIR_details.json
SEC-0090,382,IPC / Other Act (source-derived code),FIR_details.json
SEC-0091,384,IPC / Other Act (source-derived code),FIR_details.json
SEC-0092,385,IPC / Other Act (source-derived code),FIR_details.json
SEC-0093,386,IPC / Other Act (source-derived code),FIR_details.json
SEC-0094,387,IPC / Other Act (source-derived code),FIR_details.json
SEC-0095,392,IPC / Other Act (source-derived code),FIR_details.json
SEC-0096,399,IPC / Other Act (source-derived code),FIR_details.json
SEC-0097,4,IPC / Other Act (source-derived code),FIR_details.json
SEC-0098,402,IPC / Other Act (source-derived code),FIR_details.json
SEC-0099,406,IPC / Other Act (source-derived code),FIR_details.json
SEC-0100,408,IPC / Other Act (source-derived code),FIR_details.json
SEC-0101,409,IPC / Other Act (source-derived code),FIR_details.json
SEC-0102,411,IPC / Other Act (source-derived code),FIR_details.json
SEC-0103,413,IPC / Other Act (source-derived code),FIR_details.json
SEC-0104,414,IPC / Other Act (source-derived code),FIR_details.json
SEC-0105,417,IPC / Other Act (source-derived code),FIR_details.json
SEC-0106,418,IPC / Other Act (source-derived code),FIR_details.json
SEC-0107,419,IPC / Other Act (source-derived code),FIR_details.json
SEC-0108,420,IPC / Other Act (source-derived code),FIR_details.json
SEC-0109,427,IPC / Other Act (source-derived code),FIR_details.json
SEC-0110,43,IPC / Other Act (source-derived code),FIR_details.json
SEC-0111,430,IPC / Other Act (source-derived code),FIR_details.json
SEC-0112,431,IPC / Other Act (source-derived code),FIR_details.json
SEC-0113,435,IPC / Other Act (source-derived code),FIR_details.json
SEC-0114,436,IPC / Other Act (source-derived code),FIR_details.json
SEC-0115,441,IPC / Other Act (source-derived code),FIR_details.json
SEC-0116,447,IPC / Other Act (source-derived code),FIR_details.json
SEC-0117,448,IPC / Other Act (source-derived code),FIR_details.json
SEC-0118,451,IPC / Other Act (source-derived code),FIR_details.json
SEC-0119,452,IPC / Other Act (source-derived code),FIR_details.json
SEC-0120,454,IPC / Other Act (source-derived code),FIR_details.json
SEC-0121,46,IPC / Other Act (source-derived code),FIR_details.json
SEC-0122,463,IPC / Other Act (source-derived code),FIR_details.json
SEC-0123,465,IPC / Other Act (source-derived code),FIR_details.json
SEC-0124,467,IPC / Other Act (source-derived code),FIR_details.json
SEC-0125,468,IPC / Other Act (source-derived code),FIR_details.json
SEC-0126,469,IPC / Other Act (source-derived code),FIR_details.json
SEC-0127,47,IPC / Other Act (source-derived code),FIR_details.json
SEC-0128,471,IPC / Other Act (source-derived code),FIR_details.json
SEC-0129,474,IPC / Other Act (source-derived code),FIR_details.json
SEC-0130,476,IPC / Other Act (source-derived code),FIR_details.json
SEC-0131,494,IPC / Other Act (source-derived code),FIR_details.json
SEC-0132,495,IPC / Other Act (source-derived code),FIR_details.json
SEC-0133,497,IPC / Other Act (source-derived code),FIR_details.json
SEC-0134,498,IPC / Other Act (source-derived code),FIR_details.json
SEC-0135,498A,IPC / Other Act (source-derived code),FIR_details.json
SEC-0136,4C,IPC / Other Act (source-derived code),FIR_details.json
SEC-0137,4D,IPC / Other Act (source-derived code),FIR_details.json
SEC-0138,500,IPC / Other Act (source-derived code),FIR_details.json
SEC-0139,504,IPC / Other Act (source-derived code),FIR_details.json
SEC-0140,505,IPC / Other Act (source-derived code),FIR_details.json
SEC-0141,506,IPC / Other Act (source-derived code),FIR_details.json
SEC-0142,507,IPC / Other Act (source-derived code),FIR_details.json
SEC-0143,509,IPC / Other Act (source-derived code),FIR_details.json
SEC-0144,51,IPC / Other Act (source-derived code),FIR_details.json
SEC-0145,511,IPC / Other Act (source-derived code),FIR_details.json
SEC-0146,8,IPC / Other Act (source-derived code),FIR_details.json
SEC-0147,9,IPC / Other Act (source-derived code),FIR_details.json
